Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
däck på nätet,480,52,0.93,1.00,1760000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Video","0.36,0.30,1.00,0.82,0.44,0.36,0.36,0.44,0.55,0.67,0.55,0.24"
däck umeå,480,17,0.69,0.44,1460000,Commercial,"Local pack, Reviews, Video","0.30,0.36,0.67,1.00,0.67,0.44,0.55,0.55,0.67,1.00,0.44,0.24"
däck östersund,480,18,0.81,0.60,97,Commercial,"Featured snippet, Local pack, People also ask, Site links, Video","0.19,0.24,0.55,0.82,0.82,0.36,0.67,0.55,0.44,1.00,0.30,0.16"
hur mycket luft i däcken,480,18,0.53,0.23,141000,Informational,"Featured snippet, People also ask","0.19,0.36,0.67,1.00,0.67,0.54,0.67,0.67,0.54,0.67,1.00,0.44"
håkantorps däck,480,23,0.59,0.10,64,Navigational,"Adwords bottom, Image pack, Local pack, Site links, Video carousel, Video","0.25,0.25,0.68,0.77,0.45,0.25,0.25,0.25,0.25,0.55,1.00,0.30"
mönsterdjup nya däck,480,29,0.53,0.20,67400,Informational,"Featured snippet, People also ask","0.36,0.30,1.00,1.00,0.44,0.30,0.24,0.30,0.36,0.82,0.82,0.30"
pedersen däck,480,13,0.50,0.09,77,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links, Video","0.20,0.13,0.45,0.77,0.37,0.25,0.20,0.20,0.16,0.45,1.00,0.25"
robbans däck,480,21,0.59,0.17,71,Navigational,"Image pack, Knowledge panel, Site links, Video","0.16,0.11,0.68,0.68,0.25,0.16,0.20,0.20,0.16,0.55,1.00,0.25"
runflat däck,480,16,0.55,0.99,69,Informational,"Image pack, People also ask, Reviews, Site links, Video","0.36,0.44,1.00,0.82,0.55,0.55,0.44,0.44,0.55,0.82,0.55,0.24"
skifta däck,480,23,0.83,0.49,85700,Commercial,"FAQ, Local pack, People also ask, Site links, Video","0.13,0.13,0.68,1.00,0.37,0.20,0.20,0.16,0.16,0.68,1.00,0.25"
veberöds däck,480,17,0.59,0.26,57,Informational,"Adwords bottom, Image pack, Knowledge panel, Reviews","0.39,0.26,0.59,1.00,0.48,0.32,0.21,0.26,0.26,0.32,1.00,0.48"
ängs däck,480,18,0.53,0.15,64,Commercial,"Adwords bottom, FAQ, Image pack, Local pack, Reviews, Site links","0.26,0.21,0.72,0.88,0.39,0.26,0.26,0.21,0.26,0.72,1.00,0.21"
byta däck cykel,390,13,0.76,0.68,243000,Informational,"Image pack, People also ask, Reviews, Video carousel, Video","0.44,0.24,0.81,1.00,0.81,0.81,0.81,0.81,0.44,0.54,0.81,0.29"
byta däck drop in,390,15,0.78,0.52,188000,Commercial,"Featured snippet, Local pack, People also ask, Site links","0.09,0.04,0.25,0.53,0.21,0.06,0.05,0.04,0.04,0.25,1.00,0.14"
däck halmstad,390,17,0.52,0.35,897000,Commercial,"Local pack, People also ask, Site links, Video","0.24,0.24,0.55,0.67,0.36,0.30,0.44,0.55,0.36,0.44,1.00,0.30"
däck in halmstad,390,21,0.58,0.11,97,Navigational,Knowledge panel,"0.24,0.16,0.67,1.00,0.36,0.24,0.24,0.19,0.24,0.55,1.00,0.24"
däck kalmar,390,18,0.73,0.40,1230000,Commercial,"Featured snippet, Local pack, People also ask, Video","0.44,0.44,1.00,1.00,0.66,0.66,0.66,0.44,0.44,0.66,1.00,0.66"
däck karlstad,390,21,0.52,0.49,975000,Commercial,"Featured snippet, Local pack, Reviews, Site links","0.36,0.29,0.67,1.00,0.54,0.44,0.67,0.54,0.54,0.67,0.82,0.36"
däck kungsbacka,390,20,0.52,0.24,91,Commercial,"Image pack, Local pack, Site links","0.24,0.24,0.67,1.00,0.44,0.36,0.30,0.44,0.30,0.67,1.00,0.36"
däck med fälg,390,38,0.90,1.00,2470000,Commercial,"Adwords top, Image pack, Local pack, People also ask, Site links, Video","0.54,0.44,0.81,1.00,0.66,0.44,0.44,0.54,0.81,1.00,1.00,0.54"
däck service,390,33,0.64,0.36,6890000,Commercial,"FAQ, Local pack, Site links","0.44,0.44,0.81,1.00,0.67,0.67,1.00,0.81,0.67,1.00,1.00,1.00"
däck skellefteå,390,21,0.60,0.44,91,Commercial,"Image pack, Local pack, Site links, Video carousel, Video","0.30,0.16,0.36,1.00,0.55,0.30,0.44,0.55,0.36,0.67,0.24,0.24"
däck sundsvall,390,23,0.74,0.39,699000,Commercial,"Local pack, Site links, Video carousel","0.36,0.19,0.55,1.00,0.55,0.36,0.44,0.36,0.44,0.82,0.44,0.24"
däck växjö,390,19,0.58,0.40,96,Transactional,"Image pack, Local pack, Site links","0.44,0.29,1.00,1.00,0.54,0.54,0.66,0.54,0.54,0.66,0.81,0.36"
frasses däck,390,18,0.59,0.19,59,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links, Video","0.29,0.24,0.82,1.00,0.54,0.44,0.44,0.36,0.44,1.00,1.00,0.36"
good year däck,390,28,1.65,1.00,84,Informational,"Featured snippet, People also ask, Site links, Video","0.17,0.21,0.72,1.00,0.32,0.32,0.32,0.26,0.32,0.39,0.39,0.17"
goodyear däck,390,30,1.65,1.00,72,Informational,"Featured snippet, Local pack, People also ask, Site links","0.17,0.21,0.72,1.00,0.32,0.32,0.32,0.26,0.32,0.39,0.39,0.17"
högsbo däck,390,16,0.67,0.17,84,Navigational,"Adwords bottom, Image pack, Knowledge panel","0.26,0.17,0.48,0.88,0.32,0.26,0.14,0.17,0.32,0.39,1.00,0.59"
ingers däck,390,22,0.82,0.13,78,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links, Video","0.21,0.17,0.72,0.72,0.32,0.26,0.26,0.21,0.26,0.72,1.00,0.26"
karby däck,390,15,0.60,0.08,70,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links","0.24,0.24,0.67,1.00,0.82,0.44,0.36,0.44,0.44,0.67,1.00,0.19"
km däck haparanda,390,18,0.60,0.50,71,"Navigational, Transactional","Adwords bottom, Knowledge panel, Reviews, Site links","0.11,0.07,0.21,0.88,0.48,0.21,0.26,0.32,0.59,1.00,0.17,0.11"
mönsterdjup däck,390,19,0.52,0.09,127000,Informational,"Featured snippet, People also ask, Video","0.54,0.44,1.00,1.00,0.66,0.66,0.44,0.66,0.66,1.00,1.00,0.36"
nymans däck,390,30,0.57,0.13,69,Navigational,"Adwords bottom, Image pack, Local pack, Site links","0.11,0.11,0.30,0.68,0.30,0.25,0.25,0.20,0.25,1.00,0.30,0.16"
strengbergs däck,390,22,0.64,0.05,64,Navigational,"Image pack, Knowledge panel, Site links, Video carousel","0.29,0.29,0.82,1.00,0.44,0.36,0.36,0.36,0.44,1.00,0.82,0.36"
tillgrens däck,390,17,0.52,0.22,49,Navigational,"Image pack, Knowledge panel","0.26,0.21,0.72,0.72,0.39,0.32,0.26,0.26,0.26,0.59,1.00,0.32"
tullinge däck,390,22,0.60,0.06,62,Navigational,"Image pack, Knowledge panel, Site links","0.17,0.14,0.72,0.88,0.32,0.21,0.17,0.17,0.21,0.72,1.00,0.21"
byta däck linköping,320,16,0.80,0.56,99,Commercial,"Image pack, Local pack, Site links, Video","0.05,0.04,0.30,0.55,0.20,0.08,0.07,0.05,0.04,0.25,1.00,0.30"
byta däck själv,320,18,0.65,0.86,760000,Informational,"FAQ, People also ask, Site links, Video carousel, Video","0.19,0.16,0.44,0.82,0.36,0.19,0.13,0.13,0.13,0.44,1.00,0.24"
byta däck stockholm,320,31,1.25,0.55,838000,Commercial,"Local pack, People also ask, Site links, Video","0.13,0.11,0.30,0.55,0.30,0.13,0.11,0.08,0.11,0.37,1.00,0.20"
byta däck örebro,320,16,0.59,0.53,88,Commercial,"Image pack, Local pack","0.07,0.05,0.30,0.68,0.16,0.08,0.05,0.03,0.05,0.25,1.00,0.13"
dina däck,320,54,0.85,0.78,7010000,Navigational,"Adwords bottom, Site links, Video carousel","0.29,0.29,1.00,0.81,0.44,0.36,0.44,0.36,0.54,0.66,0.66,0.29"
däck 205 55 r16,320,13,0.59,1.00,50,Commercial,"Image pack, Shopping ads","0.13,0.19,0.82,1.00,0.54,0.44,0.44,0.44,0.36,0.36,0.44,0.19"
däck eskilstuna,320,17,0.51,0.58,490000,Commercial,Local pack,"0.29,0.24,0.81,0.81,0.36,0.44,0.44,0.44,0.54,0.66,1.00,0.29"
däck i väst,320,25,0.58,0.11,86,Navigational,"Adwords bottom, FAQ, Image pack, Knowledge panel, Site links","0.19,0.19,0.67,1.00,0.36,0.19,0.19,0.16,0.16,0.67,1.00,0.36"
däck karlskrona,320,17,0.64,0.30,89,Commercial,"Image pack, Local pack, Site links","0.24,0.29,0.81,0.81,0.29,0.44,0.66,0.24,0.44,0.44,1.00,0.44"
däck nyköping,320,18,0.60,0.39,98,Transactional,"Local pack, Video","0.35,0.35,0.81,0.81,0.67,0.54,0.67,0.81,0.67,0.67,1.00,0.54"
däck o fälg,320,38,0.89,1.00,485000,Commercial,"Image pack, Local pack, Site links","0.35,0.54,1.00,0.81,0.54,0.35,0.44,0.54,0.67,1.00,0.81,0.35"
däck stockholm,320,40,0.87,0.39,5970000,Commercial,"FAQ, Featured snippet, Local pack, People also ask, Reviews","0.54,0.54,0.82,0.82,1.00,0.67,0.67,0.67,0.54,1.00,1.00,0.67"
däck södertälje,320,16,0.55,0.39,91,Commercial,"Image pack, Local pack, Reviews","0.29,0.19,0.54,1.00,0.36,0.44,0.36,0.29,0.54,0.44,0.82,0.29"
däck tabell dimensioner,320,24,0.60,0.33,24900,Informational,"Featured snippet, Image pack, People also ask","0.54,0.44,1.00,0.81,0.54,0.35,0.35,0.54,0.54,0.54,0.29,0.23"
däck uddevalla,320,16,0.59,0.47,859000,Commercial,"Local pack, Site links, Video","0.54,0.29,0.81,1.00,0.44,0.36,0.36,0.44,0.54,0.66,1.00,0.36"
däck varberg,320,14,0.79,0.39,93,Commercial,"Image pack, Local pack","0.36,0.44,0.81,1.00,0.44,0.36,0.54,0.54,0.36,0.66,1.00,0.44"
guson däck sollentuna,320,13,0.57,0.13,43,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links","0.24,0.19,0.54,1.00,0.54,0.29,0.29,0.36,0.36,0.82,0.82,0.29"
halmstad däck,320,27,0.55,0.15,1080000,Navigational,"Adwords bottom, Knowledge panel, Reviews, Site links, Video","0.30,0.19,0.44,0.82,0.36,0.24,0.24,0.19,0.19,0.36,1.00,0.30"
jalles bil och däck,320,24,0.66,0.05,75,Navigational,"Knowledge panel, Site links","0.67,0.67,0.82,1.00,1.00,0.67,0.67,0.67,0.44,0.82,0.67,0.23"
jojjens däck,320,22,0.61,0.07,56,Navigational,"Image pack, Knowledge panel, Site links","0.24,0.19,0.54,1.00,0.36,0.36,0.24,0.24,0.19,0.36,0.82,0.29"
km däck gällivare,320,23,0.80,0.33,54,Navigational,"FAQ, Image pack, Knowledge panel, Site links","0.08,0.13,0.16,0.55,0.82,0.44,0.30,0.36,0.55,1.00,0.24,0.13"
kuröds däck,320,14,0.58,0.23,54,Navigational,"Image pack, Knowledge panel, Site links","0.36,0.29,1.00,1.00,0.44,0.36,0.36,0.36,0.54,1.00,1.00,0.29"
kåve däck,320,24,0.60,0.15,40,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links","0.24,0.24,0.54,0.67,0.36,0.36,0.36,0.36,0.36,0.44,1.00,0.36"
lappi däck,320,10,0.50,1.00,61,Informational,"FAQ, Image pack","0.55,0.67,0.19,0.10,0.10,0.08,0.08,0.19,0.36,1.00,0.67,0.67"
ljungby däck,320,20,0.50,0.24,89,Transactional,"Image pack, Knowledge panel","0.16,0.19,0.67,0.82,0.30,0.24,0.24,0.16,0.19,0.55,1.00,0.30"
me bil och däck,320,19,0.64,0.07,70,Informational,"Image pack, Knowledge panel, Reviews, Video","0.36,0.19,0.67,1.00,0.36,0.29,0.29,0.29,0.29,0.44,0.82,0.29"
ndi däck,320,28,0.57,0.12,60,Navigational,"Image pack, Knowledge panel, Site links","0.54,0.44,1.00,1.00,0.54,0.44,0.44,0.67,0.67,1.00,1.00,0.54"
ralphs däck,320,22,0.55,0.13,76,Commercial,"Image pack, Local pack, Reviews, Site links, Video","0.44,0.44,1.00,1.00,0.54,0.44,0.54,0.44,0.44,0.54,0.66,0.36"
rotationsriktning däck,320,21,0.57,0.16,27900,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.11,0.07,0.30,1.00,0.30,0.11,0.07,0.05,0.05,0.25,0.45,0.11"
slitagevarnare däck,320,13,0.60,0.17,93,Informational,"Image pack, Video","0.24,0.19,0.55,1.00,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.16"
tillverkningsdatum däck,320,22,0.54,0.15,52400,Informational,"FAQ, Featured snippet, Video","0.29,0.24,0.44,0.67,0.44,0.24,0.29,0.36,0.54,1.00,1.00,0.36"
tillverkningsår däck,320,19,0.54,0.15,507000,Informational,"FAQ, People also ask, Video","0.29,0.24,0.44,0.67,0.44,0.24,0.29,0.36,0.54,1.00,1.00,0.36"
volvo däck,320,29,0.59,1.00,84,Informational,"FAQ, Image pack, People also ask, Site links, Video","0.36,0.44,1.00,1.00,0.44,0.44,0.44,0.36,0.44,0.66,0.66,0.29"
ålder på däck,320,18,0.57,0.22,644000,Informational,"FAQ, Featured snippet, People also ask, Video","0.29,0.24,0.36,0.67,0.44,0.29,0.29,0.29,0.36,0.82,1.00,0.36"
all terrain däck,260,13,0.52,1.00,64,Commercial,"Image pack, Reviews, Video","0.54,0.67,1.00,0.82,0.67,0.44,0.54,0.67,0.82,0.82,0.44,0.36"
allt i däck varberg,260,23,0.83,0.30,89,Navigational,"Image pack, Knowledge panel, Reviews, Site links, Video","0.13,0.10,0.44,0.67,0.24,0.19,0.13,0.13,0.10,0.24,1.00,0.24"
amhults däck,260,24,0.59,0.06,41,"Informational, Navigational","Image pack, Knowledge panel, Reviews","0.16,0.13,0.44,0.55,0.24,0.16,0.24,0.16,0.16,0.44,1.00,0.30"
begagnade däck göteborg,260,16,0.51,1.00,194000,Commercial,"Local pack, People also ask, Shopping ads","0.35,0.44,0.81,1.00,0.54,0.44,0.44,0.54,0.44,0.44,1.00,0.44"
